,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,kurumkan,54.3,110.3,-8.0,79,36,1.66,RU,1607660009
367,bandarban,22.2,92.23,64.4,100,0,5.82,BD,1607660009
368,santa cruz de la palma,17.49,120.43,85.98,65,0,5.1,PH,1607660009
369,tymovskoye,50.85,142.66,17.92,94,99,1.41,RU,1607660009
370,nancha,47.13,129.27,12.96,71,7,9.8,CN,1607660009
371,macapa,0.04,-51.07,78.8,100,20,3.36,BR,1607660010
372,freeport,40.66,-73.58,39.2,80,1,5.44,US,1607659907
373,bulgan,48.81,103.53,3.85,81,53,1.81,MN,1607660010
374,artvin,41.17,41.83,55.4,30,0,26.4,TR,1607660010
375,laguna,38.42,-121.42,53.6,54,1,5.82,US,1607660010
376,bichena,10.45,38.2,48.11,53,13,2.55,ET,1607660010
377,naze,28.37,129.48,73.4,69,40,11.41,JP,1607659939
378,potsdam,52.4,13.07,32.0,96,87,1.99,DE,1607660011
379,ilebo,-4.32,20.58,70.14,93,98,0.31,CD,1607660011
380,cabo san lucas,-8.28,-35.03,77.0,69,40,8.05,BR,1607660011
381,abnub,27.27,31.15,50.0,81,0,11.41,EG,1607660011
382,karaton,-6.34,106.1,93.0,74,75,9.17,ID,1607660012
383,saint-joseph,-21.37,55.62,78.8,61,40,26.4,RE,1607660012
